	id	drug_agent	pheno_eucast
137	ERR11173292	CIP	R
138	ERR11173293	CIP	R
139	ERR11173294	CIP	S
140	ERR11173295	CIP	R
141	ERR11173296	CIP	S
142	ERR11173297	CIP	R
143	ERR11173298	CIP	S
144	ERR11173299	CIP	S
145	ERR11173300	CIP	R
146	ERR11173301	CIP	S
147	ERR11173302	CIP	R
148	ERR11173314	CIP	R
149	ERR11174071	CIP	S
150	ERR11174084	CIP	R
151	ERR11174100	CIP	S
152	ERR11174112	CIP	R
153	ERR11174127	CIP	R
154	ERR11174143	CIP	S
155	ERR11174158	CIP	S
156	ERR11174174	CIP	S
157	ERR11174188	CIP	S
158	ERR11174203	CIP	R
159	ERR11174216	CIP	R
160	ERR11174246	CIP	S
161	ERR11174261	CIP	R
162	ERR11174280	CIP	S
163	ERR11174294	CIP	R
164	ERR11174307	CIP	R
165	ERR11174323	CIP	R
166	ERR11174334	CIP	R
167	ERR11174345	CIP	S
168	ERR11174355	CIP	R
169	ERR11174367	CIP	R
170	ERR11174378	CIP	S
171	ERR11174389	CIP	S
172	ERR11174399	CIP	S
173	ERR11174410	CIP	R
174	ERR11174421	CIP	R
175	ERR11174435	CIP	R
176	ERR11174444	CIP	R
177	ERR11174445	CIP	R
178	ERR11174446	CIP	R
179	ERR11174447	CIP	R
180	ERR11174448	CIP	R
181	ERR11174449	CIP	R
182	ERR11174450	CIP	R
183	ERR11174451	CIP	S
184	ERR11174452	CIP	R
185	ERR11174453	CIP	R
186	ERR11174454	CIP	R
187	ERR11174455	CIP	R
188	ERR11174456	CIP	R
189	ERR11174457	CIP	S
190	ERR11174458	CIP	R
191	ERR11174459	CIP	R
192	ERR11174460	CIP	S
193	ERR11174461	CIP	R
194	ERR11174462	CIP	R
195	ERR11174463	CIP	R
196	ERR11174464	CIP	S
197	ERR11174465	CIP	R
198	ERR11174466	CIP	R
199	ERR11174467	CIP	R
200	ERR11174468	CIP	R
201	ERR11174469	CIP	R
202	ERR11174470	CIP	R
203	ERR11174471	CIP	R
204	ERR11174472	CIP	R
205	ERR11174473	CIP	R
206	ERR11174474	CIP	R
207	ERR11174475	CIP	S
208	ERR11174476	CIP	R
209	ERR11174477	CIP	S
210	ERR11174478	CIP	S
211	ERR11174479	CIP	S
212	ERR11174480	CIP	S
213	ERR11174481	CIP	S
214	ERR11174482	CIP	S
215	ERR11174483	CIP	R
216	ERR11174484	CIP	S
217	ERR11174485	CIP	S
218	ERR11174486	CIP	S
219	ERR11174487	CIP	S
220	ERR11174488	CIP	R
221	ERR11174489	CIP	S
222	ERR11174490	CIP	R
223	ERR11174491	CIP	R
224	ERR11174492	CIP	S
225	ERR11174493	CIP	S
226	ERR11174494	CIP	S
227	ERR11174495	CIP	S
228	ERR11174496	CIP	S
229	ERR11174497	CIP	S
230	ERR11174498	CIP	S
231	ERR11174499	CIP	R
232	ERR11174500	CIP	S
233	ERR11174501	CIP	R
234	ERR11174502	CIP	S
235	ERR11174503	CIP	S
236	ERR11174504	CIP	S
237	ERR11174505	CIP	S
238	ERR11174506	CIP	S
239	ERR11174507	CIP	S
240	ERR11174508	CIP	R
241	ERR11174509	CIP	R
242	ERR11174510	CIP	S
243	ERR11174511	CIP	S
244	ERR11174512	CIP	S
245	ERR11174513	CIP	S
246	ERR11174514	CIP	S
247	ERR11174515	CIP	R
248	ERR11174516	CIP	R
249	ERR11174517	CIP	R
250	ERR11174518	CIP	S
251	ERR11174519	CIP	S
252	ERR11174520	CIP	R
253	ERR11174521	CIP	R
254	ERR11174522	CIP	S
255	ERR11174523	CIP	S
256	ERR11174524	CIP	S
257	ERR11174525	CIP	S
258	ERR11174526	CIP	S
259	ERR11174527	CIP	S
260	ERR11174528	CIP	S
261	ERR11174529	CIP	S
262	ERR11174530	CIP	S
263	ERR11174531	CIP	S
264	ERR11174532	CIP	R
265	ERR11174533	CIP	R
266	ERR11174534	CIP	S
267	ERR11174535	CIP	S
268	ERR11174536	CIP	S
269	ERR11174537	CIP	S
270	ERR11174538	CIP	S
271	ERR11174539	CIP	S
272	ERR11174540	CIP	S
273	ERR11174541	CIP	S
274	ERR11174542	CIP	S
275	ERR11174543	CIP	S
276	ERR11174544	CIP	R
277	ERR11174545	CIP	S
278	ERR11174546	CIP	R
279	ERR11174547	CIP	S
280	ERR11174548	CIP	R
281	ERR11174549	CIP	R
282	ERR11174550	CIP	S
283	ERR11174551	CIP	S
284	ERR11174552	CIP	S
285	ERR11174553	CIP	S
286	ERR11174554	CIP	S
287	ERR11174555	CIP	S
288	ERR11174556	CIP	S
289	ERR11174557	CIP	S
290	ERR11174558	CIP	S
291	ERR11174559	CIP	S
292	ERR11174560	CIP	R
293	ERR11174561	CIP	R
294	ERR11174562	CIP	R
295	ERR11174563	CIP	R
296	ERR11174564	CIP	R
297	ERR11174565	CIP	S
298	ERR11174566	CIP	S
299	ERR11174567	CIP	R
300	ERR11174568	CIP	R
301	ERR11174569	CIP	R
302	ERR11174570	CIP	R
303	ERR11174571	CIP	S
304	ERR11174572	CIP	R
305	ERR11174573	CIP	R
306	ERR11174574	CIP	R
307	ERR11174575	CIP	R
308	ERR11174576	CIP	S
309	ERR11174577	CIP	R
310	ERR11174578	CIP	R
311	ERR11174579	CIP	R
312	ERR11174580	CIP	R
313	ERR11174581	CIP	R
314	ERR11174582	CIP	R
315	ERR11174583	CIP	R
316	ERR11174584	CIP	R
317	ERR11174585	CIP	R
318	ERR11174586	CIP	R
319	ERR11174587	CIP	R
320	ERR11174588	CIP	R
321	ERR11174589	CIP	R
322	ERR11174590	CIP	R
323	ERR11174591	CIP	R
324	ERR11174592	CIP	S
325	ERR11174593	CIP	R
326	ERR11174594	CIP	R
327	ERR11174595	CIP	S
328	ERR11174596	CIP	R
329	ERR11174597	CIP	R
330	ERR11174598	CIP	R
331	ERR11174599	CIP	R
332	ERR11174600	CIP	R
333	ERR11174601	CIP	R
334	ERR11174602	CIP	R
335	ERR11174603	CIP	R
336	ERR11174604	CIP	S
337	ERR11174605	CIP	S
338	ERR11174606	CIP	S
339	ERR11174607	CIP	S
340	ERR11174608	CIP	S
341	ERR11174609	CIP	R
342	ERR11174610	CIP	R
343	ERR11174611	CIP	R
344	ERR11174612	CIP	S
345	ERR11174613	CIP	R
346	ERR11174614	CIP	R
347	ERR11174615	CIP	S
348	ERR11174616	CIP	R
349	ERR11174617	CIP	R
350	ERR11174618	CIP	R
351	ERR11174619	CIP	R
352	ERR11174620	CIP	R
353	ERR11174621	CIP	S
354	ERR11174622	CIP	S
355	ERR11174623	CIP	R
356	ERR11174624	CIP	R
357	ERR11174625	CIP	S
358	ERR11174626	CIP	R
359	ERR11174627	CIP	R
360	ERR11174628	CIP	S
361	ERR11174629	CIP	S
362	ERR11174630	CIP	R
363	ERR11174631	CIP	S
364	ERR11174632	CIP	R
365	ERR11174633	CIP	S
366	ERR11174634	CIP	S
367	ERR11174635	CIP	S
368	ERR11174636	CIP	S
369	ERR11174637	CIP	S
370	ERR11174638	CIP	R
371	ERR11174639	CIP	R
372	ERR11174640	CIP	R
373	ERR11174641	CIP	R
374	ERR11174642	CIP	S
375	ERR11174643	CIP	R
376	ERR11174644	CIP	R
377	ERR11174645	CIP	S
378	ERR11174646	CIP	S
379	ERR11174647	CIP	S
380	ERR11174648	CIP	R
381	ERR11174649	CIP	R
382	ERR11174650	CIP	S
383	ERR11174651	CIP	S
384	ERR11174652	CIP	S
385	ERR11174653	CIP	R
386	ERR11174654	CIP	S
387	ERR11174655	CIP	S
388	ERR11174656	CIP	S
389	ERR11174657	CIP	S
390	ERR11174658	CIP	S
391	ERR11174659	CIP	R
392	ERR11174660	CIP	S
393	ERR11174661	CIP	R
394	ERR11174662	CIP	R
395	ERR11174663	CIP	R
396	ERR11174664	CIP	S
397	ERR11174665	CIP	R
398	ERR11174666	CIP	S
399	ERR11174667	CIP	S
400	ERR11174668	CIP	R
401	ERR11174669	CIP	R
402	ERR11174670	CIP	S
403	ERR11174671	CIP	R
404	ERR11174672	CIP	R
405	ERR11174673	CIP	R
406	ERR11174674	CIP	S
407	ERR11174675	CIP	R
408	ERR11174676	CIP	R
409	ERR11174677	CIP	R
410	ERR11174678	CIP	S
411	ERR11174679	CIP	R
412	ERR11174680	CIP	S
413	ERR11174681	CIP	S
414	ERR11174682	CIP	R
415	ERR11174683	CIP	S
416	ERR11174684	CIP	R
417	ERR11174685	CIP	S
418	ERR11174686	CIP	R
419	ERR11174687	CIP	R
420	ERR11174688	CIP	S
421	ERR11174689	CIP	S
422	ERR11174690	CIP	S
423	ERR11174691	CIP	S
424	ERR11174692	CIP	R
425	ERR11174693	CIP	R
426	ERR11174694	CIP	S
427	ERR11174695	CIP	S
428	ERR11174696	CIP	R
429	ERR11174697	CIP	R
430	ERR11174698	CIP	R
431	ERR11174699	CIP	S
432	ERR11174700	CIP	R
433	ERR11174701	CIP	S
434	ERR11174702	CIP	R
435	ERR11174703	CIP	S
436	ERR11174704	CIP	R
437	ERR11174705	CIP	S
438	ERR11174706	CIP	R
439	ERR11174707	CIP	S
440	ERR11174708	CIP	R
441	ERR11174709	CIP	S
442	ERR11174710	CIP	R
443	ERR11174711	CIP	R
444	ERR11174712	CIP	R
445	ERR11174713	CIP	S
446	ERR11174714	CIP	R
447	ERR11174715	CIP	R
448	ERR11174716	CIP	R
449	ERR11174717	CIP	S
450	ERR11174718	CIP	R
451	ERR11174719	CIP	S
452	ERR11174720	CIP	S
453	ERR11174721	CIP	S
454	ERR11174722	CIP	S
455	ERR11174723	CIP	S
456	ERR11174724	CIP	S
457	ERR11174725	CIP	S
458	ERR11174726	CIP	S
459	ERR11174727	CIP	R
460	ERR11174728	CIP	R
461	ERR11174729	CIP	R
462	ERR11174730	CIP	S
463	ERR11174731	CIP	R
464	ERR11174732	CIP	R
465	ERR11174733	CIP	S
466	ERR11174734	CIP	S
467	ERR11174735	CIP	R
468	ERR11174736	CIP	S
469	ERR11174737	CIP	S
470	ERR11174738	CIP	R
471	ERR11174739	CIP	S
472	ERR11174740	CIP	S
473	ERR11174741	CIP	S
474	ERR11174742	CIP	S
475	ERR11174743	CIP	S
476	ERR11174744	CIP	S
477	ERR11174745	CIP	R
478	ERR11174746	CIP	S
479	ERR11174747	CIP	S
480	ERR11174748	CIP	R
481	ERR11174749	CIP	R
482	ERR11174750	CIP	R
483	ERR11174751	CIP	S
484	ERR11174752	CIP	S
485	ERR11174753	CIP	S
486	ERR11174754	CIP	S
487	ERR11174755	CIP	S
488	ERR11174756	CIP	S
489	ERR11174757	CIP	S
490	ERR11174758	CIP	R
491	ERR11174759	CIP	R
492	ERR11174760	CIP	R
493	ERR11174761	CIP	S
494	ERR11174762	CIP	R
495	ERR11174763	CIP	R
496	ERR11174764	CIP	R
497	ERR11174769	CIP	S
498	ERR11174770	CIP	R
499	ERR11174771	CIP	S
500	ERR11174772	CIP	S
501	ERR11174773	CIP	R
502	ERR11174774	CIP	R
503	ERR11174775	CIP	S
504	ERR11174780	CIP	R
505	ERR11174787	CIP	S
506	ERR11174791	CIP	R
507	ERR11174792	CIP	S
508	ERR11174793	CIP	R
509	ERR11174794	CIP	R
510	ERR11174795	CIP	S
511	ERR11174796	CIP	R
512	ERR11174797	CIP	S
513	ERR11174798	CIP	S
514	ERR11174799	CIP	R
515	ERR11174800	CIP	R
516	ERR11174801	CIP	S
517	ERR11174802	CIP	S
518	ERR11174803	CIP	R
519	ERR11174804	CIP	R
520	ERR11174805	CIP	S
521	ERR11174806	CIP	S
522	ERR11174807	CIP	S
523	ERR11174808	CIP	R
524	ERR11174809	CIP	R
525	ERR11174810	CIP	R
526	ERR11174811	CIP	S
527	ERR11174812	CIP	S
528	ERR11174813	CIP	S
529	ERR11174814	CIP	R
530	ERR11174815	CIP	S
531	ERR11174816	CIP	R
532	ERR11174817	CIP	R
533	ERR11174818	CIP	R
534	ERR11174819	CIP	S
535	ERR11174820	CIP	R
536	ERR11174821	CIP	S
537	ERR11174822	CIP	R
538	ERR11174823	CIP	S
539	ERR11174893	CIP	R
540	ERR11174894	CIP	S
541	ERR11174895	CIP	S
542	ERR11174896	CIP	R
543	ERR11174897	CIP	R
544	ERR11174898	CIP	R
545	ERR11174899	CIP	R
546	ERR11174903	CIP	S
547	ERR11174904	CIP	R
548	ERR11174905	CIP	R
549	ERR11174906	CIP	S
550	ERR11174907	CIP	S
551	ERR11174908	CIP	S
552	ERR11174909	CIP	S
553	ERR11174910	CIP	S
554	ERR11174911	CIP	R
555	ERR11174912	CIP	S
556	ERR11174913	CIP	R
557	ERR11174914	CIP	R
558	ERR11174946	CIP	R
559	ERR11174947	CIP	R
560	ERR11174948	CIP	S
561	ERR11174949	CIP	R
562	ERR11174950	CIP	S
563	ERR11174951	CIP	R
564	ERR11174952	CIP	R
565	ERR11174953	CIP	S
566	ERR11174954	CIP	R
567	ERR11174955	CIP	S
568	ERR11174956	CIP	S
569	ERR11174957	CIP	R
570	ERR11174958	CIP	S
571	ERR11174959	CIP	S
572	ERR11174960	CIP	S
573	ERR11174961	CIP	R
574	ERR11174962	CIP	S
575	ERR11174963	CIP	R
576	ERR11174964	CIP	S
577	ERR11175060	CIP	S
578	ERR11175061	CIP	R
579	ERR11175062	CIP	S
580	ERR11175063	CIP	S
581	ERR11175064	CIP	S
582	ERR11175065	CIP	R
583	ERR11175066	CIP	S
584	ERR11175585	CIP	R
585	ERR11175586	CIP	S
586	ERR11175587	CIP	R
587	ERR11175588	CIP	S
588	ERR11175589	CIP	S
589	ERR11175590	CIP	R
590	ERR11175591	CIP	R
591	ERR11175592	CIP	S
592	ERR11175593	CIP	R
593	ERR11175594	CIP	R
594	ERR11175595	CIP	R
595	ERR11175596	CIP	S
596	ERR11175597	CIP	S
597	ERR11175598	CIP	R
598	ERR11175599	CIP	R
599	ERR11175600	CIP	R
600	ERR11175601	CIP	R
601	ERR11175602	CIP	S
602	ERR11175603	CIP	S
603	ERR11175604	CIP	R
604	ERR11175605	CIP	R
605	ERR11175606	CIP	S
606	ERR11175607	CIP	R
607	ERR11175608	CIP	R
608	ERR11175609	CIP	S
609	ERR11175610	CIP	S
610	ERR11175611	CIP	S
611	ERR11175612	CIP	S
612	ERR11175613	CIP	R
613	ERR11175614	CIP	R
614	ERR11175615	CIP	R
615	ERR11175616	CIP	R
616	ERR11175617	CIP	R
617	ERR11175618	CIP	R
618	ERR11175619	CIP	R
619	ERR11175620	CIP	R
620	ERR11175621	CIP	R
621	ERR11175622	CIP	R
622	ERR11175623	CIP	R
623	ERR11175624	CIP	S
624	ERR11175625	CIP	R
625	ERR11175626	CIP	R
626	ERR11175627	CIP	S
627	ERR11175628	CIP	R
628	ERR11175634	CIP	R
629	ERR11175636	CIP	S
630	ERR11175637	CIP	S
631	ERR11175638	CIP	S
632	ERR11175639	CIP	R
633	ERR11175640	CIP	S
634	ERR11175641	CIP	S
635	ERR11175642	CIP	R
636	ERR11175643	CIP	R
637	ERR11175644	CIP	R
638	ERR11175645	CIP	S
639	ERR11175646	CIP	R
640	ERR11175647	CIP	R
641	ERR11175648	CIP	S
642	ERR11175649	CIP	S
643	ERR11175650	CIP	R
644	ERR11175651	CIP	R
645	ERR11175652	CIP	R
646	ERR11175653	CIP	S
647	ERR11175654	CIP	R
648	ERR11175655	CIP	R
649	ERR11175657	CIP	S
650	ERR11175658	CIP	S
651	ERR11175659	CIP	R
652	ERR11175670	CIP	S
653	ERR11175671	CIP	S
654	ERR11175672	CIP	S
655	ERR11175673	CIP	S
656	ERR11175674	CIP	R
657	ERR11175678	CIP	R
658	ERR11175679	CIP	S
659	ERR11175682	CIP	R
660	ERR11175683	CIP	S
661	ERR11175684	CIP	R
662	ERR11175686	CIP	S
663	ERR11175700	CIP	S
664	ERR11175701	CIP	R
665	ERR11175785	CIP	R
666	ERR11175786	CIP	S
667	ERR11175787	CIP	S
668	ERR11175792	CIP	R
669	ERR11176031	CIP	R
670	ERR11176032	CIP	S
671	ERR11176033	CIP	R
672	ERR11176034	CIP	S
673	ERR11176036	CIP	R
674	ERR11176037	CIP	S
675	ERR11176039	CIP	R
676	ERR11176046	CIP	S
677	ERR11176047	CIP	R
678	ERR11176048	CIP	S
679	ERR11176049	CIP	S
680	ERR11176050	CIP	R
681	ERR11176051	CIP	R
682	ERR11176052	CIP	R
683	ERR11176053	CIP	S
684	ERR11176054	CIP	S
685	ERR11176055	CIP	R
686	ERR11176056	CIP	R
687	ERR11176057	CIP	S
688	ERR11176058	CIP	R
689	ERR11176059	CIP	R
690	ERR11176060	CIP	S
691	ERR11176061	CIP	R
692	ERR11176062	CIP	S
693	ERR11176063	CIP	S
694	ERR11176064	CIP	R
695	ERR11176065	CIP	R
696	ERR11176066	CIP	S
697	ERR11176067	CIP	R
698	ERR11176068	CIP	R
699	ERR11176069	CIP	S
700	ERR11176070	CIP	R
701	ERR11176071	CIP	R
702	ERR11176072	CIP	R
703	ERR11176073	CIP	R
704	ERR11176074	CIP	R
705	ERR11176075	CIP	S
706	ERR11176076	CIP	R
707	ERR11176077	CIP	S
708	ERR11176078	CIP	R
709	ERR11176079	CIP	S
710	ERR11176081	CIP	S
711	ERR11176082	CIP	S
712	ERR11176083	CIP	S
713	ERR11176084	CIP	S
714	ERR11176085	CIP	R
715	ERR11176086	CIP	S
716	ERR11176087	CIP	S
717	ERR11176088	CIP	S
718	ERR11176089	CIP	S
719	ERR11176090	CIP	R
720	ERR11176091	CIP	S
721	ERR11176093	CIP	R
722	ERR11176094	CIP	R
723	ERR11176095	CIP	S
724	ERR11176096	CIP	S
725	ERR11176116	CIP	S
726	ERR11176117	CIP	S
727	ERR11176118	CIP	S
728	ERR11176119	CIP	S
729	ERR11176138	CIP	R
730	ERR11176139	CIP	S
731	ERR11176140	CIP	R
732	ERR11176199	CIP	S
733	ERR11176200	CIP	R
734	ERR11176214	CIP	R
735	ERR11176215	CIP	S
736	ERR11176216	CIP	R
737	ERR11176217	CIP	S
738	ERR11176218	CIP	S
739	ERR11176219	CIP	S
740	ERR11176220	CIP	S
741	ERR11176221	CIP	R
742	ERR11176222	CIP	R
743	ERR11176234	CIP	R
744	ERR11176235	CIP	R
745	ERR11176236	CIP	R
746	ERR11176237	CIP	S
747	ERR11176239	CIP	R
748	ERR11176240	CIP	S
749	ERR11176241	CIP	R
750	ERR11176242	CIP	S
751	ERR11176243	CIP	R
752	ERR11176244	CIP	S
753	ERR11176245	CIP	R
754	ERR11176246	CIP	R
755	ERR11176247	CIP	S
756	ERR11176248	CIP	R
757	ERR11176249	CIP	R
758	ERR11176250	CIP	S
759	ERR11176251	CIP	R
760	ERR11176253	CIP	R
761	ERR11176254	CIP	S
762	ERR11176255	CIP	R
763	ERR11176256	CIP	R
764	ERR11176257	CIP	R
765	ERR11176258	CIP	R
766	ERR11176259	CIP	S
767	ERR11176260	CIP	S
768	ERR11176261	CIP	S
769	ERR11176262	CIP	S
770	ERR11176263	CIP	R
771	ERR11176264	CIP	S
772	ERR11176265	CIP	S
773	ERR11176266	CIP	S
774	ERR11176270	CIP	S
775	ERR11176283	CIP	R
776	ERR11176299	CIP	R
777	ERR11176325	CIP	S
778	ERR11176334	CIP	S
779	ERR11176345	CIP	R
780	ERR11176356	CIP	R
781	ERR11176367	CIP	R
782	ERR11176375	CIP	S
783	ERR11176385	CIP	R
784	ERR11176391	CIP	S
785	ERR11176398	CIP	R
786	ERR11176405	CIP	R
787	ERR11176409	CIP	R
788	ERR11176422	CIP	S
789	ERR11176426	CIP	S
790	ERR11176431	CIP	R
791	ERR11176438	CIP	S
792	ERR11176445	CIP	R
793	ERR11176452	CIP	R
794	ERR11176465	CIP	R
795	ERR11176488	CIP	S
796	ERR11176496	CIP	R
797	ERR11176503	CIP	R
798	ERR11176511	CIP	R
799	ERR11176519	CIP	R
800	ERR11176524	CIP	S
801	ERR11176532	CIP	R
802	ERR11176540	CIP	R
803	ERR11176559	CIP	S
804	ERR11176567	CIP	R
805	ERR11176574	CIP	R
806	ERR11176582	CIP	R
807	ERR11176590	CIP	R
808	ERR11176604	CIP	R
809	ERR11176610	CIP	S
810	ERR11176617	CIP	S
811	ERR11176623	CIP	R
812	ERR11176628	CIP	R
813	ERR11176635	CIP	S
814	ERR11176641	CIP	S
815	ERR11176656	CIP	R
816	ERR11176672	CIP	R
817	ERR11176685	CIP	S
818	ERR11176699	CIP	R
819	ERR11176713	CIP	R
820	ERR11176722	CIP	R
821	ERR11176731	CIP	S
822	ERR11176738	CIP	R
823	ERR11176745	CIP	S
824	ERR11176751	CIP	S
825	ERR11176763	CIP	S
826	ERR11176775	CIP	R
827	ERR11176781	CIP	R
828	ERR11176788	CIP	R
829	ERR11176796	CIP	R
830	ERR11176803	CIP	R
831	ERR11176817	CIP	R
832	ERR11176829	CIP	R
833	ERR11176840	CIP	S
834	ERR11176852	CIP	R
835	ERR11176862	CIP	S
836	ERR11176875	CIP	R
837	ERR11176876	CIP	R
838	ERR11176878	CIP	R
839	ERR11176879	CIP	R
840	ERR11176880	CIP	R
841	ERR11176881	CIP	R
842	ERR11176882	CIP	R
843	ERR11176883	CIP	S
844	ERR11176884	CIP	S
845	ERR11176885	CIP	S
846	ERR11176886	CIP	R
847	ERR11176887	CIP	R
848	ERR11176888	CIP	S
849	ERR11176889	CIP	R
850	ERR11176891	CIP	R
851	ERR11176892	CIP	R
852	ERR11176893	CIP	S
853	ERR11176894	CIP	R
854	ERR11176896	CIP	S
855	ERR11176897	CIP	R
856	ERR11176898	CIP	R
857	ERR11176899	CIP	R
858	ERR11176900	CIP	R
859	ERR11176902	CIP	S
860	ERR11176903	CIP	R
861	ERR11176904	CIP	R
862	ERR11176905	CIP	R
863	ERR11176906	CIP	R
864	ERR11176907	CIP	S
865	ERR11176908	CIP	R
866	ERR11176909	CIP	S
867	ERR11176910	CIP	R
868	ERR11176911	CIP	R
869	ERR11176912	CIP	R
870	ERR11176913	CIP	R
871	ERR11176915	CIP	R
872	ERR11176916	CIP	R
873	ERR11176917	CIP	R
874	ERR11176919	CIP	R
875	ERR11176920	CIP	R
876	ERR11176921	CIP	R
877	ERR11176923	CIP	R
878	ERR11176924	CIP	R
879	ERR11176925	CIP	R
880	ERR11176926	CIP	R
881	ERR11176927	CIP	S
882	ERR11176928	CIP	R
883	ERR11176929	CIP	S
884	ERR11176930	CIP	R
885	ERR11176931	CIP	R
886	ERR11176932	CIP	R
887	ERR11176933	CIP	R
888	ERR11176935	CIP	R
889	ERR11176936	CIP	R
890	ERR11176938	CIP	R
891	ERR11176939	CIP	R
892	ERR11176940	CIP	S
893	ERR11176941	CIP	R
894	ERR11176942	CIP	R
895	ERR11176943	CIP	R
896	ERR11176944	CIP	R
897	ERR11176946	CIP	R
898	ERR11176947	CIP	R
899	ERR11176948	CIP	R
900	ERR11176949	CIP	R
901	ERR11176950	CIP	R
902	ERR11176951	CIP	R
903	ERR11176952	CIP	R
904	ERR11176953	CIP	R
905	ERR11176954	CIP	R
906	ERR11176955	CIP	R
907	ERR11176956	CIP	R
908	ERR11176957	CIP	R
909	ERR11176958	CIP	R
910	ERR11176959	CIP	R
911	ERR11176960	CIP	R
912	ERR11176961	CIP	R
913	ERR11176962	CIP	R
914	ERR11176963	CIP	R
915	ERR11176964	CIP	S
916	ERR11176965	CIP	R
917	ERR11176966	CIP	R
918	ERR11176967	CIP	R
919	ERR11176968	CIP	R
920	ERR11176969	CIP	S
921	ERR11176970	CIP	R
922	ERR11176971	CIP	R
923	ERR11176972	CIP	R
924	ERR11176973	CIP	R
925	ERR11176974	CIP	R
926	ERR11176975	CIP	R
927	ERR11176976	CIP	R
928	ERR11176977	CIP	R
929	ERR11176978	CIP	R
930	ERR11176979	CIP	R
