"id"	"drug_agent"	"pheno_eucast"
"163"	"ERR11171872"	"CIP"	"R"
"164"	"ERR11171872"	"CFM"	"S"
"165"	"ERR11171872"	"CRO"	"S"
"166"	"ERR11171874"	"CIP"	"R"
"167"	"ERR11171874"	"CFM"	"S"
"168"	"ERR11171874"	"CRO"	"S"
"169"	"ERR11171876"	"CIP"	"S"
"170"	"ERR11171876"	"CFM"	"S"
"171"	"ERR11171876"	"CRO"	"S"
"172"	"ERR11171877"	"CIP"	"S"
"173"	"ERR11171877"	"CFM"	"S"
"174"	"ERR11171877"	"CRO"	"S"
"175"	"ERR11171878"	"CIP"	"R"
"176"	"ERR11171878"	"CFM"	"S"
"177"	"ERR11171878"	"CRO"	"S"
"178"	"ERR11171879"	"CIP"	"S"
"179"	"ERR11171879"	"CFM"	"S"
"180"	"ERR11171879"	"CRO"	"S"
"181"	"ERR11171881"	"CIP"	"R"
"182"	"ERR11171881"	"CFM"	"S"
"183"	"ERR11171881"	"CRO"	"S"
"184"	"ERR11171906"	"CIP"	"R"
"185"	"ERR11171906"	"CFM"	"S"
"186"	"ERR11171906"	"CRO"	"S"
"187"	"ERR11171907"	"CIP"	"S"
"188"	"ERR11171907"	"CFM"	"S"
"189"	"ERR11171907"	"CRO"	"S"
"190"	"ERR11171908"	"CIP"	"S"
"191"	"ERR11171908"	"CFM"	"S"
"192"	"ERR11171908"	"CRO"	"S"
"193"	"ERR11171909"	"CIP"	"R"
"194"	"ERR11171909"	"CFM"	"S"
"195"	"ERR11171909"	"CRO"	"S"
"196"	"ERR11171910"	"CIP"	"S"
"197"	"ERR11171910"	"CFM"	"S"
"198"	"ERR11171910"	"CRO"	"S"
"199"	"ERR11171911"	"CIP"	"R"
"200"	"ERR11171911"	"CFM"	"S"
"201"	"ERR11171911"	"CRO"	"S"
"202"	"ERR11171912"	"CIP"	"R"
"203"	"ERR11171912"	"CFM"	"S"
"204"	"ERR11171912"	"CRO"	"S"
"205"	"ERR11171913"	"CIP"	"R"
"206"	"ERR11171913"	"CFM"	"S"
"207"	"ERR11171913"	"CRO"	"S"
"208"	"ERR11171915"	"CIP"	"S"
"209"	"ERR11171915"	"CFM"	"S"
"210"	"ERR11171915"	"CRO"	"S"
"211"	"ERR11171916"	"CIP"	"R"
"212"	"ERR11171916"	"CFM"	"S"
"213"	"ERR11171916"	"CRO"	"S"
"214"	"ERR11171918"	"CIP"	"S"
"215"	"ERR11171918"	"CFM"	"S"
"216"	"ERR11171918"	"CRO"	"S"
"217"	"ERR11171920"	"CIP"	"R"
"218"	"ERR11171920"	"CFM"	"S"
"219"	"ERR11171920"	"CRO"	"S"
"220"	"ERR11171921"	"CIP"	"S"
"221"	"ERR11171921"	"CFM"	"S"
"222"	"ERR11171921"	"CRO"	"S"
"223"	"ERR11171923"	"CIP"	"S"
"224"	"ERR11171923"	"CFM"	"S"
"225"	"ERR11171923"	"CRO"	"S"
"226"	"ERR11171924"	"CIP"	"R"
"227"	"ERR11171924"	"CFM"	"S"
"228"	"ERR11171924"	"CRO"	"S"
"229"	"ERR11172152"	"CIP"	"S"
"230"	"ERR11172152"	"CFM"	"S"
"231"	"ERR11172152"	"CRO"	"S"
"232"	"ERR11172153"	"CIP"	"S"
"233"	"ERR11172153"	"CFM"	"S"
"234"	"ERR11172153"	"CRO"	"S"
"235"	"ERR11172482"	"CIP"	"R"
"236"	"ERR11172482"	"CFM"	"S"
"237"	"ERR11172482"	"CRO"	"S"
"238"	"ERR11172989"	"CIP"	"S"
"239"	"ERR11172989"	"CFM"	"S"
"240"	"ERR11172989"	"CRO"	"S"
"241"	"ERR11172990"	"CIP"	"R"
"242"	"ERR11172990"	"CFM"	"S"
"243"	"ERR11172990"	"CRO"	"S"
"244"	"ERR11172995"	"CIP"	"R"
"245"	"ERR11172995"	"CFM"	"S"
"246"	"ERR11172995"	"CRO"	"S"
"247"	"ERR11172996"	"CIP"	"S"
"248"	"ERR11172996"	"CFM"	"S"
"249"	"ERR11172996"	"CRO"	"S"
"250"	"ERR11172997"	"CIP"	"S"
"251"	"ERR11172997"	"CFM"	"S"
"252"	"ERR11172997"	"CRO"	"S"
"253"	"ERR11172998"	"CIP"	"S"
"254"	"ERR11172998"	"CFM"	"S"
"255"	"ERR11172998"	"CRO"	"S"
"256"	"ERR11172999"	"CIP"	"R"
"257"	"ERR11172999"	"CFM"	"S"
"258"	"ERR11172999"	"CRO"	"S"
"259"	"ERR11173014"	"CIP"	"R"
"260"	"ERR11173014"	"CFM"	"S"
"261"	"ERR11173014"	"CRO"	"S"
"262"	"ERR11173015"	"CIP"	"S"
"263"	"ERR11173015"	"CFM"	"S"
"264"	"ERR11173015"	"CRO"	"S"
"265"	"ERR11173017"	"CIP"	"S"
"266"	"ERR11173017"	"CFM"	"S"
"267"	"ERR11173017"	"CRO"	"S"
"268"	"ERR11173152"	"CIP"	"R"
"269"	"ERR11173152"	"CFM"	"S"
"270"	"ERR11173152"	"CRO"	"S"
"271"	"ERR11173153"	"CIP"	"R"
"272"	"ERR11173153"	"CFM"	"S"
"273"	"ERR11173153"	"CRO"	"S"
"274"	"ERR11173154"	"CIP"	"S"
"275"	"ERR11173154"	"CFM"	"S"
"276"	"ERR11173154"	"CRO"	"S"
"277"	"ERR11173155"	"CIP"	"S"
"278"	"ERR11173155"	"CFM"	"S"
"279"	"ERR11173155"	"CRO"	"S"
"280"	"ERR11173157"	"CIP"	"S"
"281"	"ERR11173157"	"CFM"	"S"
"282"	"ERR11173157"	"CRO"	"S"
"283"	"ERR11173158"	"CIP"	"R"
"284"	"ERR11173158"	"CFM"	"S"
"285"	"ERR11173158"	"CRO"	"S"
"286"	"ERR11173161"	"CIP"	"R"
"287"	"ERR11173161"	"CFM"	"S"
"288"	"ERR11173161"	"CRO"	"S"
"289"	"ERR11173162"	"CIP"	"S"
"290"	"ERR11173162"	"CFM"	"S"
"291"	"ERR11173162"	"CRO"	"S"
"292"	"ERR11173163"	"CIP"	"S"
"293"	"ERR11173163"	"CFM"	"S"
"294"	"ERR11173163"	"CRO"	"S"
"295"	"ERR11173165"	"CIP"	"R"
"296"	"ERR11173165"	"CFM"	"S"
"297"	"ERR11173165"	"CRO"	"S"
"298"	"ERR11173166"	"CIP"	"R"
"299"	"ERR11173166"	"CFM"	"S"
"300"	"ERR11173166"	"CRO"	"S"
"301"	"ERR11173167"	"CIP"	"R"
"302"	"ERR11173167"	"CFM"	"S"
"303"	"ERR11173167"	"CRO"	"S"
"304"	"ERR11173168"	"CIP"	"S"
"305"	"ERR11173168"	"CFM"	"S"
"306"	"ERR11173168"	"CRO"	"S"
"307"	"ERR11173169"	"CIP"	"R"
"308"	"ERR11173169"	"CFM"	"S"
"309"	"ERR11173169"	"CRO"	"S"
"310"	"ERR11173170"	"CIP"	"S"
"311"	"ERR11173170"	"CFM"	"S"
"312"	"ERR11173170"	"CRO"	"S"
"313"	"ERR11173171"	"CIP"	"S"
"314"	"ERR11173171"	"CFM"	"S"
"315"	"ERR11173171"	"CRO"	"S"
"316"	"ERR11173172"	"CIP"	"R"
"317"	"ERR11173172"	"CFM"	"S"
"318"	"ERR11173172"	"CRO"	"S"
"319"	"ERR11173173"	"CIP"	"S"
"320"	"ERR11173173"	"CFM"	"S"
"321"	"ERR11173173"	"CRO"	"S"
"322"	"ERR11173175"	"CIP"	"R"
"323"	"ERR11173175"	"CFM"	"S"
"324"	"ERR11173175"	"CRO"	"S"
"325"	"ERR11173176"	"CIP"	"S"
"326"	"ERR11173176"	"CFM"	"S"
"327"	"ERR11173176"	"CRO"	"S"
"328"	"ERR11173177"	"CIP"	"R"
"329"	"ERR11173177"	"CFM"	"S"
"330"	"ERR11173177"	"CRO"	"S"
"331"	"ERR11173178"	"CIP"	"R"
"332"	"ERR11173178"	"CFM"	"S"
"333"	"ERR11173178"	"CRO"	"S"
"334"	"ERR11173180"	"CIP"	"S"
"335"	"ERR11173180"	"CFM"	"S"
"336"	"ERR11173180"	"CRO"	"S"
"337"	"ERR11173182"	"CIP"	"S"
"338"	"ERR11173182"	"CFM"	"S"
"339"	"ERR11173182"	"CRO"	"S"
"340"	"ERR11173183"	"CIP"	"S"
"341"	"ERR11173183"	"CFM"	"S"
"342"	"ERR11173183"	"CRO"	"S"
"343"	"ERR11173184"	"CIP"	"R"
"344"	"ERR11173184"	"CFM"	"S"
"345"	"ERR11173184"	"CRO"	"S"
"346"	"ERR11173185"	"CIP"	"R"
"347"	"ERR11173185"	"CFM"	"S"
"348"	"ERR11173185"	"CRO"	"S"
"349"	"ERR11173186"	"CIP"	"R"
"350"	"ERR11173186"	"CFM"	"S"
"351"	"ERR11173186"	"CRO"	"S"
"352"	"ERR11173195"	"CIP"	"S"
"353"	"ERR11173195"	"CFM"	"S"
"354"	"ERR11173195"	"CRO"	"S"
"355"	"ERR11173200"	"CIP"	"S"
"356"	"ERR11173200"	"CFM"	"S"
"357"	"ERR11173200"	"CRO"	"S"
"358"	"ERR11173201"	"CIP"	"S"
"359"	"ERR11173201"	"CFM"	"S"
"360"	"ERR11173201"	"CRO"	"S"
"361"	"ERR11173202"	"CIP"	"S"
"362"	"ERR11173202"	"CFM"	"S"
"363"	"ERR11173202"	"CRO"	"S"
"364"	"ERR11173236"	"CIP"	"S"
"365"	"ERR11173236"	"CFM"	"S"
"366"	"ERR11173236"	"CRO"	"S"
"367"	"ERR11173237"	"CIP"	"R"
"368"	"ERR11173237"	"CFM"	"R"
"369"	"ERR11173237"	"CRO"	"S"
"370"	"ERR11173238"	"CIP"	"R"
"371"	"ERR11173238"	"CFM"	"S"
"372"	"ERR11173238"	"CRO"	"S"
"373"	"ERR11173239"	"CIP"	"S"
"374"	"ERR11173239"	"CFM"	"S"
"375"	"ERR11173239"	"CRO"	"S"
"376"	"ERR11173240"	"CIP"	"R"
"377"	"ERR11173240"	"CFM"	"S"
"378"	"ERR11173240"	"CRO"	"S"
"379"	"ERR11173241"	"CIP"	"R"
"380"	"ERR11173241"	"CFM"	"S"
"381"	"ERR11173241"	"CRO"	"S"
"382"	"ERR11173252"	"CIP"	"R"
"383"	"ERR11173252"	"CFM"	"S"
"384"	"ERR11173252"	"CRO"	"S"
"385"	"ERR11173253"	"CIP"	"S"
"386"	"ERR11173253"	"CFM"	"S"
"387"	"ERR11173253"	"CRO"	"S"
"388"	"ERR11173254"	"CIP"	"S"
"389"	"ERR11173254"	"CFM"	"S"
"390"	"ERR11173254"	"CRO"	"S"
"391"	"ERR11173255"	"CIP"	"S"
"392"	"ERR11173255"	"CFM"	"S"
"393"	"ERR11173255"	"CRO"	"S"
"394"	"ERR11173256"	"CIP"	"S"
"395"	"ERR11173256"	"CFM"	"S"
"396"	"ERR11173256"	"CRO"	"S"
"397"	"ERR11173288"	"CIP"	"R"
"398"	"ERR11173288"	"CFM"	"S"
"399"	"ERR11173288"	"CRO"	"S"
"400"	"ERR11173289"	"CIP"	"S"
"401"	"ERR11173289"	"CFM"	"S"
"402"	"ERR11173289"	"CRO"	"S"
"403"	"ERR11173290"	"CIP"	"R"
"404"	"ERR11173290"	"CFM"	"S"
"405"	"ERR11173290"	"CRO"	"S"
"406"	"ERR11173291"	"CIP"	"R"
"407"	"ERR11173291"	"CFM"	"S"
"408"	"ERR11173291"	"CRO"	"S"
"409"	"ERR11173292"	"CIP"	"R"
"410"	"ERR11173292"	"CFM"	"R"
"411"	"ERR11173292"	"CRO"	"R"
"412"	"ERR11173293"	"CIP"	"R"
"413"	"ERR11173293"	"CFM"	"S"
"414"	"ERR11173293"	"CRO"	"S"
"415"	"ERR11173294"	"CIP"	"S"
"416"	"ERR11173294"	"CFM"	"S"
"417"	"ERR11173294"	"CRO"	"S"
"418"	"ERR11173295"	"CIP"	"R"
"419"	"ERR11173295"	"CFM"	"S"
"420"	"ERR11173295"	"CRO"	"S"
"421"	"ERR11173296"	"CIP"	"S"
"422"	"ERR11173296"	"CFM"	"S"
"423"	"ERR11173296"	"CRO"	"S"
"424"	"ERR11173297"	"CIP"	"R"
"425"	"ERR11173297"	"CFM"	"S"
"426"	"ERR11173297"	"CRO"	"S"
"427"	"ERR11173298"	"CIP"	"S"
"428"	"ERR11173298"	"CFM"	"S"
"429"	"ERR11173298"	"CRO"	"S"
"430"	"ERR11173299"	"CIP"	"S"
"431"	"ERR11173299"	"CFM"	"S"
"432"	"ERR11173299"	"CRO"	"S"
"433"	"ERR11173300"	"CIP"	"R"
"434"	"ERR11173300"	"CFM"	"S"
"435"	"ERR11173300"	"CRO"	"S"
"436"	"ERR11173301"	"CIP"	"S"
"437"	"ERR11173301"	"CFM"	"S"
"438"	"ERR11173301"	"CRO"	"S"
"439"	"ERR11173302"	"CIP"	"R"
"440"	"ERR11173302"	"CFM"	"S"
"441"	"ERR11173302"	"CRO"	"S"
"442"	"ERR11173314"	"CIP"	"R"
"443"	"ERR11173314"	"CFM"	"S"
"444"	"ERR11173314"	"CRO"	"S"
"445"	"ERR11174071"	"CIP"	"S"
"446"	"ERR11174071"	"CFM"	"S"
"447"	"ERR11174071"	"CRO"	"S"
"448"	"ERR11174084"	"CIP"	"R"
"449"	"ERR11174084"	"CFM"	"S"
"450"	"ERR11174084"	"CRO"	"S"
"451"	"ERR11174100"	"CIP"	"S"
"452"	"ERR11174100"	"CFM"	"S"
"453"	"ERR11174100"	"CRO"	"S"
"454"	"ERR11174112"	"CIP"	"R"
"455"	"ERR11174112"	"CFM"	"S"
"456"	"ERR11174112"	"CRO"	"S"
"457"	"ERR11174127"	"CIP"	"R"
"458"	"ERR11174127"	"CFM"	"S"
"459"	"ERR11174127"	"CRO"	"S"
"460"	"ERR11174143"	"CIP"	"S"
"461"	"ERR11174143"	"CFM"	"S"
"462"	"ERR11174143"	"CRO"	"S"
"463"	"ERR11174158"	"CIP"	"S"
"464"	"ERR11174158"	"CFM"	"S"
"465"	"ERR11174158"	"CRO"	"S"
"466"	"ERR11174174"	"CIP"	"S"
"467"	"ERR11174174"	"CFM"	"S"
"468"	"ERR11174174"	"CRO"	"S"
"469"	"ERR11174188"	"CIP"	"S"
"470"	"ERR11174188"	"CFM"	"S"
"471"	"ERR11174188"	"CRO"	"S"
"472"	"ERR11174203"	"CIP"	"R"
"473"	"ERR11174203"	"CFM"	"S"
"474"	"ERR11174203"	"CRO"	"S"
"475"	"ERR11174216"	"CIP"	"R"
"476"	"ERR11174216"	"CFM"	"S"
"477"	"ERR11174216"	"CRO"	"S"
"478"	"ERR11174246"	"CIP"	"S"
"479"	"ERR11174246"	"CFM"	"S"
"480"	"ERR11174246"	"CRO"	"S"
"481"	"ERR11174261"	"CIP"	"R"
"482"	"ERR11174261"	"CFM"	"S"
"483"	"ERR11174261"	"CRO"	"S"
"484"	"ERR11174280"	"CIP"	"S"
"485"	"ERR11174280"	"CFM"	"S"
"486"	"ERR11174280"	"CRO"	"S"
"487"	"ERR11174294"	"CIP"	"R"
"488"	"ERR11174294"	"CFM"	"S"
"489"	"ERR11174294"	"CRO"	"S"
"490"	"ERR11174307"	"CIP"	"R"
"491"	"ERR11174307"	"CFM"	"S"
"492"	"ERR11174307"	"CRO"	"S"
"493"	"ERR11174323"	"CIP"	"R"
"494"	"ERR11174323"	"CFM"	"S"
"495"	"ERR11174323"	"CRO"	"S"
"496"	"ERR11174334"	"CIP"	"R"
"497"	"ERR11174334"	"CFM"	"S"
"498"	"ERR11174334"	"CRO"	"S"
"499"	"ERR11174345"	"CIP"	"S"
"500"	"ERR11174345"	"CFM"	"S"
"501"	"ERR11174345"	"CRO"	"S"
"502"	"ERR11174355"	"CIP"	"R"
"503"	"ERR11174355"	"CFM"	"S"
"504"	"ERR11174355"	"CRO"	"S"
"505"	"ERR11174367"	"CIP"	"R"
"506"	"ERR11174367"	"CFM"	"S"
"507"	"ERR11174367"	"CRO"	"S"
"508"	"ERR11174378"	"CIP"	"S"
"509"	"ERR11174378"	"CFM"	"S"
"510"	"ERR11174378"	"CRO"	"S"
"511"	"ERR11174389"	"CIP"	"S"
"512"	"ERR11174389"	"CFM"	"S"
"513"	"ERR11174389"	"CRO"	"S"
"514"	"ERR11174399"	"CIP"	"S"
"515"	"ERR11174399"	"CFM"	"S"
"516"	"ERR11174399"	"CRO"	"S"
"517"	"ERR11174410"	"CIP"	"R"
"518"	"ERR11174410"	"CFM"	"S"
"519"	"ERR11174410"	"CRO"	"S"
"520"	"ERR11174421"	"CIP"	"R"
"521"	"ERR11174421"	"CFM"	"S"
"522"	"ERR11174421"	"CRO"	"S"
"523"	"ERR11174435"	"CIP"	"R"
"524"	"ERR11174435"	"CFM"	"S"
"525"	"ERR11174435"	"CRO"	"S"
"526"	"ERR11174444"	"CIP"	"R"
"527"	"ERR11174444"	"CFM"	"S"
"528"	"ERR11174444"	"CRO"	"S"
"529"	"ERR11174445"	"CIP"	"R"
"530"	"ERR11174445"	"CFM"	"S"
"531"	"ERR11174445"	"CRO"	"S"
"532"	"ERR11174446"	"CIP"	"R"
"533"	"ERR11174446"	"CFM"	"S"
"534"	"ERR11174446"	"CRO"	"S"
"535"	"ERR11174447"	"CIP"	"R"
"536"	"ERR11174447"	"CFM"	"S"
"537"	"ERR11174447"	"CRO"	"S"
"538"	"ERR11174448"	"CIP"	"R"
"539"	"ERR11174448"	"CFM"	"S"
"540"	"ERR11174448"	"CRO"	"S"
"541"	"ERR11174449"	"CIP"	"R"
"542"	"ERR11174449"	"CFM"	"S"
"543"	"ERR11174449"	"CRO"	"S"
"544"	"ERR11174450"	"CIP"	"R"
"545"	"ERR11174450"	"CFM"	"S"
"546"	"ERR11174450"	"CRO"	"S"
"547"	"ERR11174451"	"CIP"	"S"
"548"	"ERR11174451"	"CFM"	"S"
"549"	"ERR11174451"	"CRO"	"S"
"550"	"ERR11174452"	"CIP"	"R"
"551"	"ERR11174452"	"CFM"	"S"
"552"	"ERR11174452"	"CRO"	"S"
"553"	"ERR11174453"	"CIP"	"R"
"554"	"ERR11174453"	"CFM"	"S"
"555"	"ERR11174453"	"CRO"	"S"
"556"	"ERR11174454"	"CIP"	"R"
"557"	"ERR11174454"	"CFM"	"S"
"558"	"ERR11174454"	"CRO"	"S"
"559"	"ERR11174455"	"CIP"	"R"
"560"	"ERR11174455"	"CFM"	"S"
"561"	"ERR11174455"	"CRO"	"S"
"562"	"ERR11174456"	"CIP"	"R"
"563"	"ERR11174456"	"CFM"	"R"
"564"	"ERR11174456"	"CRO"	"S"
"565"	"ERR11174457"	"CIP"	"S"
"566"	"ERR11174457"	"CFM"	"S"
"567"	"ERR11174457"	"CRO"	"S"
"568"	"ERR11174458"	"CIP"	"R"
"569"	"ERR11174458"	"CFM"	"S"
"570"	"ERR11174458"	"CRO"	"S"
"571"	"ERR11174459"	"CIP"	"R"
"572"	"ERR11174459"	"CFM"	"S"
"573"	"ERR11174459"	"CRO"	"S"
"574"	"ERR11174460"	"CIP"	"S"
"575"	"ERR11174460"	"CFM"	"S"
"576"	"ERR11174460"	"CRO"	"S"
"577"	"ERR11174461"	"CIP"	"R"
"578"	"ERR11174461"	"CFM"	"S"
"579"	"ERR11174461"	"CRO"	"S"
"580"	"ERR11174462"	"CIP"	"R"
"581"	"ERR11174462"	"CFM"	"S"
"582"	"ERR11174462"	"CRO"	"S"
"583"	"ERR11174463"	"CIP"	"R"
"584"	"ERR11174463"	"CFM"	"S"
"585"	"ERR11174463"	"CRO"	"S"
"586"	"ERR11174464"	"CIP"	"S"
"587"	"ERR11174464"	"CFM"	"S"
"588"	"ERR11174464"	"CRO"	"S"
"589"	"ERR11174465"	"CIP"	"R"
"590"	"ERR11174465"	"CFM"	"S"
"591"	"ERR11174465"	"CRO"	"S"
"592"	"ERR11174466"	"CIP"	"R"
"593"	"ERR11174466"	"CFM"	"S"
"594"	"ERR11174466"	"CRO"	"S"
"595"	"ERR11174467"	"CIP"	"R"
"596"	"ERR11174467"	"CFM"	"S"
"597"	"ERR11174467"	"CRO"	"S"
"598"	"ERR11174468"	"CIP"	"R"
"599"	"ERR11174468"	"CFM"	"S"
"600"	"ERR11174468"	"CRO"	"S"
"601"	"ERR11174469"	"CIP"	"R"
"602"	"ERR11174469"	"CFM"	"S"
"603"	"ERR11174469"	"CRO"	"S"
"604"	"ERR11174470"	"CIP"	"R"
"605"	"ERR11174470"	"CFM"	"S"
"606"	"ERR11174470"	"CRO"	"S"
